Player,Team,Pos,# of Top 5 Szns,# of Top 12 Szns,# of Top 24 Szns,Draft,Age,Draft Year,Cr.Year,SZN Year,POS RK,PPG POS RK,TEAM POS RK,GMs,Opps,TGT%,EPG,FPOE/G,aDot,Yd/TMAtt / G,PPG (PPR),TD Rate (YD/TD),Dominator (rec),Opportunity Share (% of team - non qb - RuAtt and Tgts),PPR,.5ppr,STD,SIXPT,FFPC,DK,FD,Snaps,Snap%,Tgt,Tgt Shr,Att,% Tm Att,Opps,% Tm Opps,Yards,Att,Comp,Comp%,TD,Int,Yd/Att,Rating,Total,Completed,Conv%,AY/Att,EP,FPOE,PaEP,PaFPOE,ruEP,ruFPOE,reEP,reFPOE,Att,Yards,TD,RUSH TD% (TD/ATT),YPC,% Tm Att,FumL,Tgt,Rec,Yards,TD,TD% (REC/TD,YPR,Yd/Tgt,TGT%,AirYards,AY/Tgt,YAC,RACR,Airyards %,WOPR,AirYAC (AY+YAC),
Andre Rison,LV,WR,0.00,0.00,0.00,22,33,1989,12,2000,46,60,2,16,70,15.00%,7.33,1.27,NA,#N/A,8.60,101.00,28.4%,10.3%,137.6,117.1,96.6,NA,NA,NA,NA,0,NA,70,0.15,0,0,70,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,117.3,20.3,0,0,0,0,117.3,20.3,0,0,0,0.00%,0,0,NA,70,41,606,6,8.57%,14.8,8.7,0.15,NA,NA,NA,NA,NA,NA,NA,Andre Rison12
Terance Mathis,ATL,WR,0.00,0.00,0.00,140,33,1990,11,2000,40,48,2,16,126,25.00%,12.08,-2.43,NA,0.78,9.65,134.80,39.3%,20.2%,154.4,125.9,97.4,NA,NA,NA,NA,0,NA,125,0.25,1,0,126,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,193.2,-38.8,0,0,0.6,-1.1,192.6,-37.7,1,-5,0,0.00%,-5,0,NA,125,57,679,5,4.00%,11.9,5.4,0.25,NA,NA,NA,NA,NA,NA,NA,Terance Mathis11
Irving Fryar,WAS,WR,0.00,0.00,0.00,1,38,1984,17,2000,54,52,2,14,78,14.00%,8.38,0.72,NA,0.64,9.10,112.80,28.3%,11.2%,127.4,106.9,86.4,NA,NA,NA,NA,0,NA,76,0.14,2,0,78,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,117.3,10.1,0,0,1.6,0,115.7,10.1,2,16,0,0.00%,8,0,NA,76,41,548,5,6.58%,13.4,7.2,0.14,NA,NA,NA,NA,NA,NA,NA,Irving Fryar17
Ricky Proehl,LAR,WR,0.00,0.00,0.00,58,32,1990,11,2000,64,64,4,12,39,7.00%,5.15,3.11,NA,0.61,8.26,110.25,13.5%,5.2%,99.1,83.6,68.1,NA,NA,NA,NA,0,NA,39,0.07,0,0,39,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,61.8,37.3,0,0,0,0,61.8,37.3,0,0,0,0.00%,0,0,NA,39,31,441,4,10.26%,14.2,11.3,0.07,NA,NA,NA,NA,NA,NA,NA,Ricky Proehl11
Tony Martin,MIA,WR,0.00,0.00,0.00,126,35,1989,12,2000,75,78,3,10,63,15.00%,9.79,-3.26,NA,0.69,6.53,0.00,14.4%,8.9%,65.3,52.3,39.3,NA,NA,NA,NA,0,NA,63,0.15,0,0,63,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,97.9,-32.6,0,0,0,0,97.9,-32.6,0,0,0,0.00%,0,0,NA,63,26,393,0,0.00%,15.1,6.2,0.15,NA,NA,NA,NA,NA,NA,NA,Tony Martin12
Chris Calloway,NE,WR,0.00,0.00,0.00,97,32,1990,11,2000,129,139,5,7,10,2.00%,2.26,-0.19,NA,0.22,2.07,0.00,2.7%,1.4%,14.5,12,9.5,NA,NA,NA,NA,0,NA,10,0.02,0,0,10,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,15.8,-1.3,0,0,0,0,15.8,-1.3,0,0,0,0.00%,0,0,NA,10,5,95,0,0.00%,19,9.5,0.02,NA,NA,NA,NA,NA,NA,NA,Chris Calloway11
Terance Mathis,ATL,WR,0.00,0.00,0.00,140,34,1990,12,2001,54,71,4,16,105,22.00%,10.49,-3.03,NA,0.61,7.46,282.00,20.5%,15.7%,119.4,93.9,68.4,NA,NA,NA,NA,0,NA,105,0.22,0,0,105,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,167.8,-48.4,0,0,0,0,167.8,-48.4,0,0,0,0.00%,0,0,NA,105,51,564,2,1.90%,11.1,5.4,0.22,NA,NA,NA,NA,NA,NA,NA,Terance Mathis12
Ricky Proehl,LAR,WR,0.00,0.00,0.00,58,33,1990,12,2001,50,54,3,14,56,10.00%,6.83,2.37,NA,0.67,9.20,113.60,18.2%,7.8%,128.8,108.8,88.8,NA,NA,NA,NA,0,NA,55,0.1,1,0,56,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,95.6,33.2,1.6,-1.6,0.6,-0.1,93.4,34.9,1,5,0,0.00%,5,0,NA,55,40,563,5,9.09%,14.1,10.2,0.1,NA,NA,NA,NA,NA,NA,NA,Ricky Proehl12
Tony Martin,ATL,WR,0.00,0.00,0.00,126,36,1989,13,2001,58,48,1,11,77,16.00%,11.08,-1.10,NA,0.87,9.98,182.67,22.7%,11.5%,109.8,91.3,72.8,NA,NA,NA,NA,0,NA,77,0.16,0,0,77,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,121.9,-12.1,0,0,0,0,121.9,-12.1,0,0,0,0.00%,0,0,NA,77,37,548,3,3.90%,14.8,7.1,0.16,NA,NA,NA,NA,NA,NA,NA,Tony Martin13
Ricky Proehl,LAR,WR,0.00,0.00,0.00,58,34,1990,13,2002,60,74,3,15,71,11.00%,7.67,-0.09,NA,0.51,7.57,116.50,18.7%,9.8%,113.6,92.1,70.6,NA,NA,NA,NA,0,NA,70,0.11,0,0,70,NA,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,115,-1.4,2.7,-2.7,0,0,112.3,1.3,0,0,0,0.00%,0,0,NA,70,43,466,4,5.71%,10.8,6.7,0.11,NA,NA,NA,NA,NA,NA,NA,Ricky Proehl13
