Player,Team,Pos,# of Top 5 Szns,# of Top 12 Szns,# of Top 24 Szns,Draft,Age,Draft Year,Cr.Year,SZN Year,POS RK,PPG POS RK,TEAM POS RK,GMs,Opps,TGT%,EPG,FPOE/G,aDot,Yd/TMAtt / G,PPG (PPR),TD Rate (YD/TD),Dominator (rec),Opportunity Share (% of team - non qb - RuAtt and Tgts),PPR,.5ppr,STD,SIXPT,FFPC,DK,FD,Snaps,Snap%,Tgt,Tgt Shr,Att,% Tm Att,Opps,% Tm Opps,Yards,Att,Comp,Comp%,TD,Int,Yd/Att,Rating,Total,Completed,Conv%,AY/Att,EP,FPOE,PaEP,PaFPOE,ruEP,ruFPOE,reEP,reFPOE,Att,Yards,TD,RUSH TD% (TD/ATT),YPC,% Tm Att,FumL,Tgt,Rec,Yards,TD,TD% (REC/TD,YPR,Yd/Tgt,TGT%,AirYards,AY/Tgt,YAC,RACR,Airyards %,WOPR,AirYAC (AY+YAC),
Antonio Brown,PIT,WR,6.00,6.00,7.00,195,22,2010,1,2010,123,129,4,9,19,7.00%,2.98,0.66,5.80,0.31,3.63,0.00,4.3%,2.6%,32.7,24.7,16.7,32.7,32.7,32.7,24.7,0,NA,19,0.07,0,0,19,0.04,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,26.8,5.9,0,0,0,0,26.8,5.9,0,0,0,0.00%,NA,0,0,19,16,167,0,0.00%,10.4,8.8,0.07,111,5.8,113,1.5,0.05,0.14,224,Antonio Brown1
Brandon LaFell,CAR,WR,0.00,0.00,1.00,78,24,2010,1,2010,76,91,3,14,79,19.00%,8.62,-1.71,10.20,0.66,6.91,528.00,23.2%,11.7%,96.8,77.8,58.8,96.8,96.8,96.8,77.8,0,NA,77,0.19,1,0,78,0.1,0,1,0,0,0,0,0,39.6,-4,0,0,-4,120.7,-23.9,0,0,0.6,5.4,120.1,-29.3,1,60,0,0.00%,60,0,0,77,38,468,1,1.30%,12.3,6.1,0.19,784,10.2,128,0.6,0.27,0.47,912,Brandon LaFell1
Demaryius Thomas,DEN,WR,3.00,4.00,6.00,22,23,2010,1,2010,95,95,4,10,41,10.00%,6.58,-0.34,9.00,0.47,6.24,142.00,10.6%,5.5%,62.4,51.4,40.4,62.4,62.4,60.4,47.4,0,NA,39,0.1,2,0.01,41,0.07,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,65.8,-3.4,0,0,0.7,-0.6,65.1,-2.8,2,1,0,0.00%,0.5,0.01,2,39,22,283,2,5.13%,12.9,7.3,0.1,350,9,139,0.81,0.1,0.22,489,Demaryius Thomas1
Dez Bryant,DAL,WR,2.00,3.00,5.00,24,22,2010,1,2010,43,36,2,12,74,17.00%,10.17,2.26,10.80,0.75,12.43,93.50,23.7%,11.1%,149.1,126.6,104.1,149.1,149.1,151.1,124.6,0,NA,73,0.17,1,0,74,0.1,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,122,27.1,0,0,1.1,-1.1,121,16.1,1,0,0,0.00%,0,0,1,73,45,561,6,8.22%,12.5,7.7,0.17,788,10.8,193,0.71,0.26,0.43,981,Dez Bryant1
Emmanuel Sanders,PIT,WR,1.00,1.00,4.00,82,23,2010,1,2010,87,102,3,13,50,12.00%,6.48,-0.51,12.60,0.49,5.97,188.00,14.2%,6.9%,77.6,63.6,49.6,77.6,77.6,76.6,61.6,0,NA,50,0.12,0,0,50,0.06,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,84.2,-6.6,0,0,0,0,84.2,-6.6,0,0,0,0.00%,NA,0,1,50,28,376,2,4.00%,13.4,7.5,0.12,631,12.6,71,0.6,0.16,0.29,702,Emmanuel Sanders1
Eric Decker,DEN,WR,0.00,2.00,3.00,87,23,2010,1,2010,138,145,5,8,8,3.00%,1.60,1.23,15.00,0.22,2.83,106.00,4.5%,1.1%,22.6,19.6,16.6,22.6,22.6,21.6,17.6,0,NA,8,0.03,0,0,8,0.02,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,12.8,9.8,0,0,0,0,12.8,9.8,0,0,0,0.00%,NA,0,1,8,6,106,1,12.50%,17.7,13.2,0.03,120,15,24,0.88,0.05,0.08,144,Eric Decker1
Golden Tate,SEA,WR,0.00,2.00,4.00,60,22,2010,1,2010,115,122,6,11,41,10.00%,6.20,-2.19,10.10,0.35,4.01,0.00,6.6%,6.0%,44.1,33.6,23.1,44.1,44.1,44.1,33.6,0,NA,39,0.1,2,0.01,41,0.06,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,68.2,-24.1,0,0,0.9,-0.5,67.3,-23.6,2,4,0,0.00%,2,0.01,0,39,21,227,0,0.00%,10.8,5.8,0.1,393,10.1,109,0.58,0.12,0.24,502,Golden Tate1
Mike Williams,TB,WR,0.00,0.00,2.00,101,23,2010,1,2010,16,26,1,16,129,27.00%,13.80,0.41,12.40,1.04,14.21,87.64,49.1%,20.7%,227.4,194.9,162.4,227.4,227.4,228.4,190.9,0,NA,129,0.27,0,0,129,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,220.8,6.6,0,0,0,0,220.8,6.6,0,0,0,0.00%,NA,0,2,129,65,964,11,8.53%,14.8,7.5,0.27,1601,12.4,370,0.6,0.37,0.66,1971,Mike Williams1
A.J. Green,CIN,WR,2.00,4.00,6.00,4,23,2011,1,2011,17,17,1,15,120,24.00%,13.39,1.14,13.20,1.20,14.53,158.57,46.8%,16.1%,218,185.5,153,218,218,230,185.5,0,NA,115,0.24,5,0.01,120,0.13,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,200.9,17.1,0,0,3.4,1.9,197.5,15.2,5,53,0,0.00%,10.6,0.01,0,115,65,1057,7,6.09%,16.3,9.2,0.24,1516,13.2,256,0.7,0.39,0.63,1772,A.J. Green1
Antonio Brown,PIT,WR,6.00,6.00,7.00,195,23,2010,2,2011,23,30,2,16,131,23.00%,13.01,-0.39,12.10,1.18,12.62,574.50,30.5%,16.9%,201.9,167.4,132.9,201.9,201.9,210.9,167.4,0,NA,124,0.23,7,0.02,131,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,208.1,-6.2,0,0,5.1,-1.1,202.9,-11.1,7,41,0,0.00%,5.9,0.02,0,124,69,1108,2,1.61%,16.1,8.9,0.23,1495,12.1,372,0.74,0.31,0.56,1867,Antonio Brown2
Brandon LaFell,CAR,WR,0.00,0.00,1.00,78,25,2010,2,2011,61,74,2,15,56,12.00%,5.98,1.71,12.90,0.68,7.69,204.33,22.2%,9.7%,115.3,97.3,79.3,115.3,115.3,118.3,97.3,0,NA,56,0.12,0,0,56,0.06,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,89.7,25.6,0,0,0,0,89.7,25.6,0,0,0,0.00%,NA,0,0,56,36,613,3,5.36%,17,10.9,0.12,724,12.9,239,0.85,0.16,0.29,963,Brandon LaFell2
Demaryius Thomas,DEN,WR,3.00,4.00,6.00,22,24,2010,2,2011,63,38,1,10,72,28.00%,11.55,-0.39,15.40,1.09,11.16,139.00,32.7%,10.6%,111.6,95.6,79.6,111.6,111.6,117.6,95.6,0,NA,70,0.28,1,0,71,0.11,0,1,0,0,0,0,0,39.6,9,0,0,9,115.5,-3.9,1.8,-1.8,0.7,-0.2,113,-1.9,1,5,0,0.00%,5,0,0,70,32,551,4,5.71%,17.2,7.9,0.28,1081,15.4,113,0.51,0.34,0.66,1194,Demaryius Thomas2
Dez Bryant,DAL,WR,2.00,3.00,5.00,24,23,2010,2,2011,19,22,3,15,104,20.00%,11.75,2.27,11.70,1.05,14.02,103.67,34.8%,16.2%,210.3,178.8,147.3,210.3,210.3,209.3,176.8,0,NA,103,0.2,1,0,104,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,176.3,34,0,0,0.7,-0.2,175.5,34.3,1,5,0,0.00%,5,0,1,103,63,928,9,8.74%,14.7,9,0.2,1203,11.7,348,0.77,0.31,0.51,1551,Dez Bryant2
Doug Baldwin,SEA,WR,0.00,2.00,3.00,329,23,2011,1,2011,42,51,2,16,88,17.00%,8.51,1.09,10.00,0.82,9.60,196.50,36.2%,12.3%,153.6,128.1,102.6,153.6,153.6,156.6,128.1,0,NA,87,0.17,1,0,88,0.09,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,136.1,17.5,0,0,0.5,-0.7,135.6,18.2,1,-2,0,0.00%,-2,0,0,87,51,788,4,4.60%,15.5,9.1,0.17,871,10,310,0.9,0.19,0.4,1181,Doug Baldwin1
Emmanuel Sanders,PIT,WR,1.00,1.00,4.00,82,24,2010,2,2011,99,104,4,11,44,11.00%,6.39,-0.61,13.30,0.45,5.78,151.50,11.5%,5.6%,63.55,52.55,41.55,63.55,63.55,63.4,52.4,0,NA,43,0.11,0,0,43,0.06,15,1,1,1,0,0,15,118.8,15,15,1,15,70.3,-6.7,0.3,0.4,0,0,70,-7.2,0,0,0,0.00%,NA,0,0,43,22,288,2,4.65%,13.1,6.7,0.11,570,13.3,128,0.51,0.17,0.29,698,Emmanuel Sanders2
Eric Decker,DEN,WR,0.00,2.00,3.00,87,24,2010,2,2011,37,47,2,16,99,23.00%,9.64,0.32,13.80,0.75,9.96,76.63,45.2%,14.6%,159.3,137.3,115.3,159.3,159.3,161.3,135.3,0,NA,97,0.23,1,0,98,0.1,0,1,0,0,0,0,0,39.6,29,0,0,29,154.2,5.1,0,0,0.1,0,154.1,-0.9,1,1,0,0.00%,1,0,1,97,44,612,8,8.25%,13.9,6.3,0.23,1340,13.8,177,0.46,0.29,0.55,1517,Eric Decker2
Golden Tate,SEA,WR,0.00,2.00,4.00,60,23,2010,2,2011,80,95,4,15,63,12.00%,6.64,-0.47,11.40,0.44,6.17,132.00,21.1%,8.8%,92.6,75.1,57.6,92.6,92.6,92.6,75.1,0,NA,58,0.12,5,0.01,63,0.07,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,99.6,-7,0,0,2.6,-1.1,97,-5.8,5,14,0,0.00%,2.8,0.01,0,58,35,382,3,5.17%,10.9,6.6,0.12,659,11.4,156,0.58,0.16,0.3,815,Golden Tate2
Julio Jones,ATL,WR,3.00,7.00,8.00,6,22,2011,1,2011,22,13,2,13,101,19.00%,11.98,3.68,12.90,1.19,15.65,126.88,35.8%,13.2%,203.5,176.5,149.5,203.5,203.5,217.5,174.5,0,NA,95,0.19,6,0.02,101,0.12,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,155.7,47.8,0,0,3.9,1.7,151.9,46,6,56,0,0.00%,9.3,0.02,1,95,54,959,8,8.42%,17.8,10.1,0.19,1224,12.9,398,0.78,0.27,0.48,1622,Julio Jones1
Mike Williams,TB,WR,0.00,0.00,2.00,101,24,2010,2,2011,36,42,1,15,125,22.00%,13.69,-2.99,10.20,0.88,10.69,258.00,28.9%,21.4%,160.4,127.9,95.4,160.4,160.4,158.4,123.9,0,NA,124,0.22,1,0,125,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,205.3,-44.9,0,0,0.6,-0.3,204.7,-44.6,1,3,0,0.00%,3,0,2,124,65,771,3,2.42%,11.9,6.2,0.22,1268,10.2,211,0.61,0.3,0.55,1479,Mike Williams2
Randall Cobb,GB,WR,0.00,1.00,2.00,64,21,2011,1,2011,87,109,5,15,34,6.00%,3.49,1.91,8.50,0.43,5.40,380.00,8.2%,5.0%,81,68.5,56,81,81,78,62.5,0,NA,31,0.06,2,0.01,33,0.04,0,1,0,0,0,0,0,39.6,22,0,0,22,52.3,28.7,1.5,-1.5,1.5,-1,49.3,19.2,2,5,0,0.00%,2.5,0.01,3,31,25,375,1,3.23%,15,12.1,0.06,265,8.5,166,1.42,0.06,0.14,431,Randall Cobb1
Terrelle Pryor,LV,WR,0.00,0.00,1.00,329,22,2011,1,2011,205,205,7,1,0,0.00%,0.00,0.00,NA,0.00,0.00,0.00,0.0%,0.0%,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,0,0,0,0,0,0,0,0,0,0,0,0.00%,NA,0,0,0,0,0,0,0.00%,NA,NA,0,0,NA,0,NA,0,0,0,Terrelle Pryor1
Torrey Smith,BAL,WR,0.00,0.00,1.00,58,22,2011,1,2011,30,35,1,15,100,19.00%,10.38,1.62,17.60,0.94,12.00,125.71,39.8%,15.1%,180,155,130,180,180,186,155,0,NA,96,0.19,4,0.01,100,0.1,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,155.7,24.3,0,0,2.8,1.1,152.9,23.2,4,39,0,0.00%,9.8,0.01,0,96,50,841,7,7.29%,16.8,8.8,0.19,1685,17.6,238,0.5,0.36,0.53,1923,Torrey Smith1
Victor Cruz,NYG,WR,1.00,1.00,2.00,329,25,2010,2,2011,3,4,1,16,132,22.00%,13.33,4.79,11.90,1.54,18.12,171.00,46.7%,17.6%,289.9,248.9,207.9,289.9,289.9,309.9,246.9,0,NA,131,0.22,1,0,132,0.13,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,213.3,76.6,0,0,1,-0.7,212.3,77.3,1,3,0,0.00%,3,0,1,131,82,1536,9,6.87%,18.7,11.7,0.22,1555,11.9,592,0.99,0.27,0.53,2147,Victor Cruz2
A.J. Green,CIN,WR,2.00,4.00,6.00,4,24,2011,2,2012,4,4,1,16,168,31.00%,17.65,1.21,13.60,1.43,18.86,126.18,57.9%,23.5%,301.8,253.3,204.8,301.8,301.8,315.8,251.3,960,0.91,164,0.31,4,0.01,168,0.18,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,282.4,19.4,0,0,4.8,-1,277.6,20.4,4,38,0,0.00%,9.5,0.01,1,164,97,1350,11,6.71%,13.9,8.2,0.31,2230,13.6,358,0.61,0.47,0.8,2588,A.J. Green2
Alshon Jeffery,CHI,WR,0.00,2.00,3.00,45,22,2012,1,2012,82,75,2,10,48,16.00%,7.44,0.43,15.80,0.61,7.87,122.33,18.3%,6.3%,78.7,66.7,54.7,78.7,78.7,78.7,66.7,431,0.66,48,0.16,0,0,48,0.08,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,74.4,4.3,0,0,0,0,74.4,4.3,0,0,0,0.00%,NA,0,0,48,24,367,3,6.25%,15.3,7.6,0.16,759,15.8,65,0.48,0.24,0.4,824,Alshon Jeffery1
Antonio Brown,PIT,WR,6.00,6.00,7.00,195,24,2010,3,2012,32,28,1,13,115,23.00%,13.74,-0.27,9.90,1.01,13.47,162.20,28.9%,15.7%,175.1,142.1,109.1,175.1,176.1,174.1,139.1,654,0.75,106,0.23,7,0.02,113,0.14,0,2,0,0,0,1,0,0,41,0,0,20.5,178.6,-3.5,-0.8,-1.2,5.3,-2.9,174,0.7,7,24,0,0.00%,3.4,0.02,2,106,66,787,5,4.72%,11.9,7.4,0.23,1054,9.9,353,0.75,0.27,0.53,1407,Antonio Brown3
Brandon LaFell,CAR,WR,0.00,0.00,1.00,78,26,2010,3,2012,54,56,2,14,79,18.00%,9.07,0.87,10.00,0.86,9.94,178.00,27.8%,12.7%,139.2,117.2,95.2,139.2,139.2,139.2,117.2,757,0.84,76,0.18,3,0.01,79,0.1,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,127,12.2,0,0,2.1,1.4,124.7,11,3,35,0,0.00%,11.7,0.01,0,76,44,677,4,5.26%,15.4,8.9,0.18,759,10,318,0.89,0.19,0.4,1077,Brandon LaFell3
Demaryius Thomas,DEN,WR,3.00,4.00,6.00,22,25,2010,3,2012,5,6,1,16,141,24.00%,14.48,4.11,10.80,1.34,18.59,143.40,44.6%,17.6%,297.4,250.4,203.4,297.4,297.4,316.4,246.4,1018,0.89,141,0.24,0,0,141,0.13,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,231.6,65.8,0,0,0,0,231.6,65.4,0,0,0,0.00%,NA,0,2,141,94,1434,10,7.09%,15.3,10.2,0.24,1521,10.8,560,0.94,0.32,0.59,2081,Demaryius Thomas3
