Name,Conference,DR,DP,Draft Year,Age IN DRAFT YEAR,Years Played,G,AVG PPG,rec,YARDS,YPR,REC/g,FINAL MS YARDS RK,College Dominator Rating,Yards Dominator,RecYds/TmPatt First,RecYds/TmPatt Best,RecYds/TmPatt Last,RecYds/TmPatt AVG,RecYds/TmPatt Above Team AVG First,RecYds/TmPatt Above Team AVG Best,RecYds/TmPatt Above Team AVG Last,RecYds/TmPatt Above Team AVG AVG,Dominator First Season,Dominator Best Season,Dominator Last Season,Dominator AVG Season,DOa First,DOa Best,DOa Last,DOa AVG,MS Yards First,MS Yards Best,MS Yards Last,MS Yards AVG,YOa First,YOa Best,YOa Last,YOa AVG,PPG Above conference expectation (Last Year),AVG S/EX (Yds Share Over Expectation),Last S/EX (Yds Share Over Expectation),TeamMate Score (TeamMate Over Expected),BMI Bucket,BMI,40 time,height,weight,Bench,Verticle,Broad,Shuttle,3 Cone,WaSS,HaSS,Hand Size,Arm Length,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,# of top  36 finishes,# of 1000 Rec yards seasons,AVG PPG (PPR) Season 1-3
Marquise Brown,2,1,25,2019,22,2,25,19.13589744,132,2413,18.28030303,5.28,1.00,0.26,0.24,2.52,3.30,3.30,2.91,1.69,2.84,2.84,2.26,0.18,0.26,0.26,0.22,-0.14,-0.07,-0.07,-0.10,0.22,0.29,0.29,0.25,-0.07,-0.01,-0.01,-0.04,4.97,-0.03,0.01,-0.03,24.00,24.25,4.33,69.38,166.00,10.00,35.90,121.75,4.25,6.96,97.68,95.79,9.00,30.50,0.00,0.00,0.00,0.00,0.00,10.99
N'Keal Harry,10,1,32,2019,21,3,37,18.1292735,213,2889,13.56338028,5.756756757,1,0.40,0.29,1.550588235,2.747474747,2.747474747,2.347751763,1.026218487,2.245342548,2.238215488,1.836592175,0.262,0.405,0.405,0.343,0.06,0.09,0.11,0.09,0.21,0.36,0.36,0.30,0.03,0.07,0.11,0.07,4.290925835,0.05,0.11,0.03,28,28.97871988,4.53,74.375,228,27,38.5,122,4.25149061,6.964760192,108.285931,110.8687567,9.5,33,0,0,0,0,0,5.43
Andy Isabella,6,2,62,2019,22,4,41,17.03125,231,3526,15.26406926,5.634146341,1,0.48,0.24,1.837155963,4.131386861,4.131386861,2.071306169,1.330439056,3.461912783,3.461912783,2.173071381,0.001,0.478,0.478,0.268,0.01,0.14,0.14,0.06,0.00,0.47,0.47,0.34,0.02,0.17,0.17,0.06,16.39523718,0.05,0.19,0.03,27,27.96473779,4.31,68.75,188,15,36.5,121,4.15,6.964760192,108.9629279,95.32187768,8.375,29.75,0,0,0,0,0,3.93
AJ Brown,11,2,51,2019,22,3,34,17.58535354,189,2984,15.78835979,5.558823529,1,0.33,0.24,0.8530020704,3,3,2.248152345,0.2511546425,2.273251748,2.273251748,1.571912333,0.092,0.355,0.302,0.249,-0.16,-0.03,0.04,-0.05,0.11,0.32,0.32,0.25,-0.13,0.01,0.03,-0.03,6.664396802,-0.02,0.06,0.03,30,30.22948395,4.49,72.5,226,19,36.5,120,4.25149061,6.964760192,111.2123636,108.1957157,9.75,32.875,0,0,1,1,0,12.98
DK Metcalf,11,2,64,2019,21,3,21,11.97063492,67,1228,18.32835821,3.19047619,3,0.20,0.09,1.491916859,1.491916859,1.293181818,0.9373379304,0.7917925031,0.7917925031,0.5664335664,0.6791130348,0.039,0.207,0.187,0.144,-0.05,-0.13,-0.05,-0.09,0.00,0.14,0.16,0.16,-0.07,-0.15,-0.07,-0.11,4.867570135,-0.10,0.00,0.03,28,28.21489926,4.33,75.375,228,27,40.5,134,4.5,7.38,129.7218869,136.4124518,9.875,34.875,0,0,0,1,0,11.53
Deebo Samuel,11,2,36,2019,23,4,29,17.23854167,148,2076,14.02702703,5.103448276,1,0.30,0.16,1.947761194,1.990970655,1.990970655,1.258240323,1.516946517,1.546149987,1.546149987,1.531548252,0.062,0.296,0.296,0.167,-0.14,-0.06,-0.06,-0.10,0.06,0.25,0.28,0.27,-0.01,-0.07,-0.01,-0.04,4.201896802,0.00,-0.01,0.04,29,29.63755298,4.48,71.25,214,15,39,122,4.14,7.03,106.2506787,99.8339821,10,31.375,0,0,0,1,0,11.91
N'Keal Harry,10,1,32,2019,21,3,37,18.1292735,213,2889,13.56338028,5.76,1.00,0.40,0.29,1.55,2.75,2.75,2.35,1.03,2.25,2.24,1.84,0.26,0.40,0.40,0.34,0.06,0.09,0.11,0.09,0.21,0.36,0.36,0.30,0.03,0.07,0.11,0.07,4.29,0.05,0.11,0.03,28.00,28.98,4.53,74.38,228.00,27.00,38.50,122.00,4.25,6.96,108.29,110.87,9.50,33.00,0.00,0.00,0.00,0.00,0.00,5.43
Parris Campbell,4,2,59,2019,22,3,34,11.26698718,131,1686,12.87022901,3.852941176,1,0.22,0.13,0.2972972973,1.893129771,1.893129771,1.166215415,-0.1297604423,1.348787607,1.348787607,0.667948172,0.022,0.217,0.217,0.118,-0.23,-0.12,-0.12,-0.18,0.04,0.20,0.20,0.18,-0.19,-0.10,-0.10,-0.14,4.943361588,-0.10,-0.07,-0.03,27,27.89950211,4.31,71.875,205,11,40,135,4.03,6.964760192,118.8159586,113.6077789,9.5,32.25,0,0,0,0,0,5.73
Andy Isabella,6,2,62,2019,22,4,41,17.03125,231,3526,15.26406926,5.63,1.00,0.48,0.24,1.84,4.13,4.13,2.07,1.33,3.46,3.46,2.17,0.00,0.48,0.48,0.27,0.01,0.14,0.14,0.06,0.00,0.47,0.47,0.34,0.02,0.17,0.17,0.06,16.40,0.05,0.19,0.03,27.00,27.96,4.31,68.75,188.00,15.00,36.50,121.00,4.15,6.96,108.96,95.32,8.38,29.75,0.00,0.00,0.00,0.00,0.00,3.93
AJ Brown,11,2,51,2019,22,3,34,17.58535354,189,2984,15.78835979,5.56,1.00,0.33,0.24,0.85,3.00,3.00,2.25,0.25,2.27,2.27,1.57,0.09,0.36,0.30,0.25,-0.16,-0.03,0.04,-0.05,0.11,0.32,0.32,0.25,-0.13,0.01,0.03,-0.03,6.66,-0.02,0.06,0.03,30.00,30.23,4.49,72.50,226.00,19.00,36.50,120.00,4.25,6.96,111.21,108.20,9.75,32.88,0.00,0.00,1.00,1.00,0.00,12.98
